title,date,body
"To whom is Prime Minister Robert Abela beholden to, Grech asks","April 2, 2023 1:01 PM",Nationalist Party leader Bernard Grech has accused prime minister Robert Abela of being “weak compromised and controlled” as he criticised him for taking no action against Labour backbencher Rosianne Cutajar after chats exchanged between the latter and murder suspect Yorgen Fenech were published almost two weeks ago Grech hit out at the impunity which criminals enjoy as the government “defends them because it is part of it” while the police and the attorney general are “used” to go after those who call the government out for its actions “All that is currently happening in Malta is because Abela as the prime minister is weak controlled and compromised” Grech said and added “What does she Rosianne Cutajar know about him What do they know about him To whom is he beholden Why doesn’t he muster the strength to remove a person caught redhanded What is he scared of” Grech was referring to what emerged from the WhatsApp exchange between Cutajar and Fenech from messages exchanged between the two during June and September 2019 when Fenech had already been outed as the owner of Dubaibased company 17 Black The chats show Cutajar’s alleged trading in influence as well as it emerges that she received a gift from him of a designer handbag around the time that she defended 17 Black from corruption claims during a Council of Europe sitting “Are you worried that Joseph Muscat Cutajar and Anton Refalo will reveal something about you” Grech asked Addressing Abela directly Grech added “Do you understand that if you remain so weak you do not have the moral authority to decide” During the interview on the PN’s TV station Net Grech also claimed that many of those who contested elections on the Labour Party’s ticket had one aim in mind – that of becoming rich “We know this not only because Cutajar told us so but because journalists have revealed it and that these people went on to benefit from direct orders The NAO reports also show this” Grech said With reference to Cutajar’s message to Fenech about “everyone pigging out” Grech said the MP did not try to stop them from doing so but tried to outcompete them “It is not surprising that they continue to defend each other vote together and that the government had voted down the anticorruption bill presented in parliament by the Opposition” Grech said and added that they were up to their neck together in this “web of pigging out” The Opposition leader observed that “Abela and his friends kept defending each other whilst attacking those who out them and using the institutions in their favour so that they can keep pigging out” He then contrasted this with the Nationalist Party and stressed that the Opposition wants to do things differently and wants to do politics which address the issues that the nation is facing The PN leader also hit out at Abela for using a Labour Party activity to make announcements relating to the government’s work and decried Abela for not using the proper forum to announce an increase in children’s allowance and stipends He accused Abela of announcing the measures to mitigate the decrease in popularity “On one hand we have finance minister Clyde Caruana telling us to tighten our belts and on the other we have Abela who out of the blue announced these measures as his popularity took a hit because of what is currently happening” Grech said The Labour Party has responded to the criticism levelled at Abela’s announcement of increasing stipends and children’s allowance by saying that such statements continue to expose the difference between the two main parties “Strengthening the financial assistance given to people is the main reason why we work towards having a sustainable economic growth” the PL replied in a statement Grech lambasted the announcement as a “cheap tactic” for Abela to save himself and said that taxpayers’ money was being used by the prime minister “for his own gain” The PN leader also spoke about the government’s reluctance to set up a public inquiry into Jean Paul Sofia’s death
Not just English lessons but also life skills at Blue Door Education,"April 2, 2023 10:42 AM",Tista' taqra bil Malti Videos Michela Tufigno Blue Door Education an NGO set up ten years ago does not only offer English lessons to its service users but also assists them going about their daily lives in Malta the NGO’s president Justine Lubnow told Newsbookcommt This newsroom sat down with Lubnow and Deputy Operations Manager Leah Crisman for an interview about the NGO’s work Set up ten years ago by members of St Andrew’s Scots Church with the aim of helping fellow members of the congregation who were struggling in their daytoday lives with the language Since then the organisation has started offering not just language classes but also literacy and life skills classes to migrants refugees and asylum seekers The NGO has a 50strong volunteer team who are also assisting in its daytoday work “For a while the majority of our students did not have the classic education as we know” Lubnow explained adding that some of the students have never been to school or have not been exposed to the daily things which are part of our daily lives This includes opening a bank account or applying for their Tallinja Card “Opening a bank account for someone can be a major thing to apply for while for us it is a given and we just expect everyone to know it It’s not always a given and we help those who do not know how to do it” she added Serving as a “linguistic first aid” Lubnow explained how the classes offered at Blue Door Education are aimed at helping their students to cope with their daily life However it is not just that the lessons also include a cultural aspect with the NGO president highlighting that through these classes communities are also formed as students and teachers bond Whilst up to a year ago most of the students were under the age of 30 things have changed Following the invasion of Ukraine by Russia older students have now taken up classes “Up to a year ago 90 of our students were under the age of 30 but that has changed a lot since the war in Ukraine So we’ve also had elderly ladies turning up to our classes as well It’s quite a mix at the moment between young and old black and white” she said Speaking about integration Lubnow said that there is a lot of work to be done She observed that it is expected that people not only integrate but also assimilate leaving part of themselves behind Underlining that there is so much to learn from one another Lubnow said “I feel that may be we should give people more room to bring things with them which we could also learn as well because there is beauty in diversity Giving them enough space to be themselves but also live within the accepted rules and regulations of Maltese society” Blue Door Education’s Deputy Operations Manager Leah Crisman explained that she is in charge of ensuring that there are enough volunteers at the right place at the right time “We are really lucky to have many volunteer teachers” Crisman said adding that there are several students who come in every time they are open and register for classes In turn Crisman has to make sure that the students are assigned to the right class according to their level Speaking about the organisation’s work Crisman explained that there were several projects undertaken by the NGO over the past years to address the needs which are not met by traditional services Over the past few months the organisation also started providing menstrual products such as sanitary towels and menstrual caps but also baby care items such as diapers and other products This was possible following a sponsorship by the embassy of the Netherlands to Malta Later this month legendary Wayne Marshall OBE will perform in an exclusive benefit concert on organ and piano in aid of Blue Door Education The concert will be held on 13 April and more information may be found here
Man hit by a car while washing his vehicle,"April 2, 2023 10:02 AM",A 76yearold man was grievously injured while washing his Mercedes Benz Sprinter on Saturday afternoon The police said the incident was reported at 645pm on Triq Belt ilĦażna in Marsa The victim who is from Marsa was on a ladder washing his vehicle when a car being driven by a 19yearold Floriana man crashed into the parked car The youth lost control of his vehicle crashing into the Mercedes and the ladder The victim was given first aid onsite before being transferred to Mater Dei Hospital
British police search for stolen baby donkey,"May 17, 2023 2:20 PM",Tista' taqra bil Malti The British Police are looking for the thieves who stole a twomonthold baby donkey named Moon The farm owner in Hampshire said that the donkey is probably feeling lonely The farm owner added that she is not optimistic that this baby donkey stolen last Monday will be found She appealed to whoever stole it to return it Workers at Miller’s Ark farms in Hook Hampshire also worry for Moon
Inter to face Manchester City in Champions League Final,"May 18, 2023 8:53 AM",Tista' taqra bil Malti At the Etihad Stadium Manchester City made it to their second final in the UEFA Champions League when they managed to beat Real Madrid with a score of 40 to pass with an aggregate score of 51 On June 10 Man City will meet Inter for the final which will take place in Istanbul Last year Man City lost to Real Madrid
PN to hold national protest on Wednesday,"May 16, 2023 6:55 PM",The Nationalist Party will be holding national protest outside parliament on Wednesday following the damning NAO report on the hospitals privatisation deal Speaking in parliament on Tuesday evening PN leader Bernard Grech said the protest is being called as prime minister Robert Abela continues to undermine the country’s institutions The Opposition has held a series of protests after court annulled the deal which it said was fraudulent in February The NAO report published on Monday concluded that former minister Konrad Mizzi granted Vitals Global Healthcare VGH authorisation to transfer the hospitals concession to Steward Healthcare SHC before seeking Cabinet’s approval It also said that Mizzi misled the Cabinet of ministers on the side agreement he concluded with Steward by which government would be liable to pay the company €100 million if a court annulled the contract In recent days the PN has asked police chief Angelo Gafa to launch a criminal investigation on the individuals involved in the deal including Mizzi and Muscat however the police force has so far failed to react Moreover on Monday Abela chose to respond to the damning report on the Steward Health Care concession before anyone – including journalists and members of the opposition – could actually read it by breaching parliamentary rules Abela’s apparent attempt to control the narrative on the embarrassing report saw him bring it up in parliament during debate on a completely unrelated subject The opposition had earlier rejected a suggestion to hold an urgent debate on Monday afternoon with government rejecting a suggestion to hold a debate on Tuesday and Wednesday Moreover on Tuesday the Labour Party held a press conference in which minister Jonathan Attard and parliamentary secretary Andy Ellul insisted that the report completely exculpated prime minister Robert Abela and his government What went unsaid perhaps is that this conclusion is a tacit admission that the same could not be said about Abela’s predecessor Joseph Muscat Though Muscat was not mentioned by the two politicians in their press conference at the Labour HQ – prime minister Abela has long studiously avoided mentioning his predecessor by name and his address to Parliament on Monday was no exception – their defence of the government effectively laid all ills concerning the concession on Muscat’s feet
Grech: ‘The thieves are turning against each other’,"May 18, 2023 8:54 AM",Tista' taqra bil Malti PN leader Bernard Grech called his supporters on Wednesday as he said that the latest revelations on the fraudulent hospitals deal piloted by former prime minister Joseph Muscat showed that the corrupt are turning against each other Those who thought they were above the law Grech said in reference to Muscat and his former righthand men Keith Schembri and Konrad Mizzi “are hiding and blaming each other” Addressing a protest outside parliament on Wednesday evening Grech said “they are now turning against each other as thieves do” He added that the people “have a mission to give birth to a new Malta a clean Malta where our children can have the future they deserve” Grech recalled that slain journalist Daphne Caruana Galizia had exposed the deceit and corruption in the hospitals deal and said that “we can never stop honouring her” “She gave her life so we can know the truth we know today” Grech told protestors “We must never forget her” He also pointed out that a number of Maltese and foreign journalists are striving to uncover the truth about the “corrupt Labour government” “Journalists civil society Adrian Delia Simon Busuttil – these people have all contributed to ensure Daphne did not die in vain” he said The PN leader also saluted activists and civil society organisations that have for years strived to for justice and kept up the fight against corruption as he singled out Repubblika and Occupy Justice for their invaluable work Grech added that everyone who worked for the truth is either getting killed threatened or ridiculed The protest came after a a damning NAO report found that Mizzi and Muscat conspired to mislead the Cabinet of minister over various aspects of the concession deal which was annulled by court in February 2023 This was followed by revelations that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH “This shows that we are living in a mafia state where people are killed people are threatened and where people’s money is stolen to be given to criminals” the PN leader said “We are living in surreal times It is now the moment of truth the moment when we tell them that enough is enough” Grech told the crowd People have had enough of  the “corrupt government” Grech said as he urged people of all political hues to remain united to create a better future for the country “and ensure impunity does not reign” While insisting that the PN will not shy away from fighting corruption Grech said “we are not done we still have work to do and we must do this together We cannot continue to let them do as they please”
Archbishop Charles Scicluna denies ever being an Opus Dei member,"May 17, 2023 8:00 PM",The Church in Malta has denied allegations made by a blogger that Archbishop Charles Scicluna is a member of Opus Dei “In a recent blog post Simon Mercieca a professor of history at the University of Malta alleged that Archbishop Charles Scicluna is a member of Opus Dei” the Curia said in a statement on Wednesday “This is totally untrue Contrary to the misleading statement made by Prof Mercieca the Archbishop is not and never has been a member of Opus Dei” the statement added
"‘No one believes you’ on hospitals fiasco, Grech tells Labour MPs","May 17, 2023 7:43 PM",Nationalist Party leader Bernard Grech insisted on Wednesday that no one believed what the Labour Party in government was saying on the hospitals concession granted to Vitals passed on to Steward and cancelled by the courts not least since the latest revelations saw the key protagonists openly contradict each other Grech and other PN MPs starting with Adrian Delia completely disregarded the agenda of Wednesday’s parliamentary sitting instead focusing solely on hospitals concession following revelations made by the Times and the Shift in collaboration with the Organised Crime and Corruption Reporting Project including that former PM Joseph Muscat received money from a firm that was previously called VGH Europe – an apparent reference to Vitals Global Healthcare A few minutes into Delia’s speech – the televised broadcast does not make clear whether he did so of his own accord or in response to informal complaints from the government benches – deputy speaker and PN MP David Agius reminded Delia that the standing orders governing Parliament had not changed and that these required MPs to ensure that their speeches were on topic Delia was undeterred and continued speaking out of order prompting complaints from MP Edward Zammit Lewis which drew a pointed reply from Agius who recalled that PM Robert Abela similarly ignored parliamentary procedure to react to a damning National Audit Office report on the hospitals deal before the public could properly read it “I acted as the Speaker had done two days ago with respect to the prime minister and everyone who spoke after him whose address was not relevant to the agenda of the day” he said before telling Delia that he may continue his address Grech said that the Maltese “are living in surreal times” having to deal shocking revelations while the key government figures were nowhere to be seen He repeatedly highlighted that only a few government MPs were present in the chamber He said that he was not addressing parliament to explain how the hospitals deal was the “greatest fraud that has ever happened in this country” that Abela has lied and that his government was preventing the country’s institutions from doing their duty All of these he said were “a known fact” Instead he said looking straight at the cameras he wished to tell address those “who long for hope in politics and who have a right to hope” including the Labourites “who believed you” he added turning his face to the government benches “Those who had a dream and hoped that this country would move forward only to see you deliver a nightmare instead” he continued The PN leader also said that the latest revelations continue to show why Abela was the chosen successor of Muscat maintaining that Muscat needed someone to ensure the “continuity” that Abela had promised when he became prime minister “It is no wonder that Muscat needed Robert Abela to be his puppet so that he could continue doing as he pleases” he said But in this context Grech emphasised Abela was no victim not least because he was well aware of what he was getting into Grech recalled – as Delia had done earlier in the day – that in the Labour leadership election that saw him prevail over Chris Fearne Abela had maintained that his role as Muscat’s consultant saw him keep an eye on the goingson of every minister Grech also called out Fearne insisting that the health minister could not escape the responsibilities he had concerning the deal He said that Fearne “knows he was a participant and an enabler he knew what was going on and failed to lift a finger to stop the theft that was taking place” Both Fearne and Abela were well aware that Steward were not doing what they were obliged to he later added but they still continued giving it generous amounts of public funds The discussion – which was ostensibly on a bill which would see offences introduced through the latest cannabis reform handled by commissioners for justice rather than the courts – was wound down by justice minister Jonathan Attard who ended up devoting much of his speech to respond to the PN MPs who spoke out – particularly Grech and Delia In doing so Attard repeatedly indulged in an argument his party is fond of making the claim that the PN is split in two camps one backing Grech and the other Delia “The only surreal thing in here… is the opposition leader whose days are numbered” Attard insisted References to Delia prompted the MP to protest loudly prompting Attard to make a pointed remark at the former opposition leader “I know that Delia believes that this is his moment of glory that he can be reintegrated in the party after his own friends kicked him out but he is mistaken” the minister maintained The remark predictably did not help calm things down leading Agius to briefly suspend the sitting Attard also insisted that the opposition was holding the country hostage before concluding his speech by referring to the bill that parliament should have discussed
Man grievously injured after rolling down Dingli cliffs,"April 2, 2023 9:46 AM",A 36yearold Polish national was grievously injured on Saturday afternoon after he fell down from a height from ĦadDingli cliffs and landing on a country road below The police said the incident was reported at around 630pm A medical team and members of the Civil Protection Department were called to site to assist the police A police spokesperson told this newsroom that the man had managed to crawl back up and was found on the road when assistance arrived He was later taken to Mater Dei Hospital for treatment where it was certified that he had sustained grievous injuries
"Left on seen, Cutajar does not reply on resignation ultimatum","April 1, 2023 8:00 PM",Tista' taqra bil Malti Government MP Rosianne Cutajar opted to not reply when asked if she was asked to resign from Parliament Newsbookcommt asked the MP to confirm whether she was asked to resign from MP and whether she intends on resigning She was also asked to confirm whether she was given an ultimatum by when she should decide on her political future This newsroom initially called the MP and then sent her the questions via WhatsApp However the questions were read but never replied to Sources have told this newsroom that some time during the past week prime minister Robert Abela spoke to the MP and asked her to resign According to the same sources Cutajar was warned that if she does not resign out of her own will she would be removed This newsroom is informed that Cutajar has so far resisted calls for resignation and was given a “tight” ultimatum possibly Monday to step down Abela had initially attempted to dismiss the WhatsApp exchange between Cutajar and Fenech as misogynistic However earlier this week he hinted that he expects her to step down after attempts to defend the embattled MP seemingly failed to produce the desired results The Labour leader had previously said that Cutajar had already paid a political price for what had been revealed – she had been made to step down as parliamentary secretary though soon made chair of a parliamentary committee in an apparent consolation prize But when questioned by journalists from The Times outside the Auberge de Castille on Monday evening the PM acknowledged that some of the details revealed in the chats leaked by Mark Camilleri were new “As I had said everyone has to assume responsibility for their actions” he said “No one is bigger than the party and no one is bigger than the country” Abela said that he had not spoken to Cutajar personally since the leaks took place but insisted that his message did not need to be delivered facetoface The facetoface meeting with Cutajar is believed to have taken place on Wednesday
Activists hang money bag on Judas tree outside Castille in protest over ‘fraudulent’ hospitals deal,"April 1, 2023 7:38 PM",Occupy Justice activists hung a money bag depicting the sum of €400 million on a Judas tree outside the Prime Minister’s Office symbolising the money ‘stolen’ from Maltese citizens from the government’s ‘fraudulent deal with Vitals and later Steward Healthcare The bag was hung on Saturday evening In a statement Occupy Justice said it wanted to emphasise “the way we have been unforgivably betrayed by those who signed the contract to sell our hospitals to third parties with no past experience in healthcare management” “A betrayal in which Malta’s prized healthcare system was sold in a corrupt deal for the proverbial thirty pieces of silver – a ‘real deal’ that proved to be anything but” the group said Occupy Justice referred to the landmark court judgement delivered in February and said spelt out how the privatisation deal was fraudulent before it was even signed “During its implementation not only did the Government of Malta pay almost €400 million to the company to run the hospitals barely a cent of the €200 million promised by VitalsSteward in investment – via infrastructure equipment and a new Gozo hospital – was spent Millions down the drain that could and should have been spent for the benefit of all Maltese and Gozitans” Occupy Justice said The hospitals deal was just one of the myriad scandals uncovered by assassinated investigative journalist Daphne Caruana Galizia who first highlighted the suspicious agreement in March 2015 – eight years ago the group highlighted It was also pointed out that since the court delivered its judgement no one had resigned or charged with corruption to date Occupy Justice said it demanded to know why no one was made to answer for their actions in connection to the deal
ADPD calls for party financing rules to be strengthened,"April 1, 2023 6:32 PM",Tista' taqra bil Malti ADPD has called for the improvement of the law regulating the financing of political parties In a press conference on Saturday ADPD said it did not make sense that political parties have to regulate themselves due to an Electoral Commission which is composed of parties represented in parliament The party noted that state aid is only limited to parties represented in Parliament and insisted that this should be extended to all registered political parties obtaining at least 1 of the votes cast in General Elections European Parliament Election or Local Council elections “Parties reaching such a threshold should receive an annual state grant on the basis of the number of votes obtained” ADPD said The party also called for the total sum which any one individual can donate to a political party to be revised down from €25000 to €5000 “It is pertinent to note the the law on the financing of political parties has a huge loophole which allows donations used for political purposes to be hidden through the private companies owned by PL and PN “The most obvious examples are TV stations ONE and NET which are PL’s and PN’s main vehicles for political outreach Donations received by ONE and NET are disguised as the purchasing of services from these companies and are not declared as donations in the respective party’s accounts” the party said adding that the current law is bypassed in this way The party’s deputy chairperson Sandra Gauci spoke about the chats between government MP Rosianne Cutajar and murder suspect Yorgen Fenech and said these showed close relationship between businesspersons and politicians “Fenech was not only close to Cutajar but also to Joseph Muscat and Keith Schembri He was also treated favourably by the Planning Authority’s CEO Johann Buttigieg as well as by the Malta Gaming Authority when renewing his Casino licence” Gauci said She added that property tycoon Joseph Portelli had boasted about interacting with politicians on a daily basis “As ADPD – The Green Party we have always made it clear we never asked for and thankfully never were offered any donations by Portelli” Gauci also hit out at economy minister Silvio Schembri who has repeatedly refused to state whether he was paying rent for his constituencies’ offices in Siġġiewi and Luqa “These offices are owned by two property developers – Anton Camilleri and Paul Attard – both of whom sit on the Malta Developers Association’s Executive Committee What is of concern is not just the arrogance being shown by Minister Schembri who is avoiding putting all his cards on the table as accountability demands of him but the pervasiveness of the mentality of impunity and of low standards which is being seen repeatedly on a regular basis” She reiterated that the party has frequently spoke on the need to retain a distance between public figures and businesspersons The politician once more echoed calls by ADPD for fulltime MPs “This would mean that MPs would be able to carry these better and remove or reduce the overdependence of some MPs on the business world Members of Parliament should dedicate themselves exclusively to Parliamentary duties Members of Parliament should not be allowed to carry out any other work while in office This should also include Members of Parliament being precluded from sitting on Authorities’ and Commissions’ boards both in the public and private sector”
"Certain medical services cannot be offered at Gozo General Hospital, Abela admits","April 1, 2023 4:23 PM",Tista' taqra bil Malti Certain medical treatment cannot be offered at Gozo General Hospital active ageing minister Jo Etienne Abela said and added that the hospital has to work in tandem with Mater Dei Hospital as some specialised treatment is only offered in Malta Abela was Saturday’s guest on Andrew Azzopardi on 103 hosted by Professor Andrew Azzopardi during which the minister was quizzed about the now annulled hospitals deal the inquiry into the disappearance of a patient from St Vincent de Paul and the Msida home for the elderly which had been closed down Speaking about the hospital concession Abela said the Gozo General Hospital which was one of the three public hospitals entrusted to Vitals Global Healthcare later Steward Healthcare had “advanced” over the the past decade but was not up to the government’s expectations According to the active ageing minister there are 800 nurses for every 100000 residents and insisted that the local scenario was “way better” than abroad He acknowledged that the nurse to patient ratio should improve Abela went on to say that the number of nurses working with elderly patients was increased not due to a shortage but to improve their working conditions Inevitably Abela was asked about Carmelo Fino’s case – an 83yearold man who wandered out of St Vincent de Paul and went missing only to be found dead days later – the minister said he did not wish to comment about the case since a magisterial inquiry was still underway He insisted that officials at St Vincent de Paul had a duty to care for Fino adding that a patient’s pension is reduced by 80 when they are admitted into the long term facility He also denied claims by the nurses union that duty nurse Rhys Xuereb had been turned into a scapegoat and was being framed up to cover the shortcomings in the sector The minister observed that even if he could have been investigated as part of the inquiry On the Msida elderly care home Abela said it was closed down after it was found to be operating not according to established standards This newsroom had broken the story that the home was operating without the necessary licence while the rooms had been left dirty and neglected The home was eventually closed down and its residents were transferred to other care homes
Joe ‘Strongman’ Falzon passes away,"April 1, 2023 2:39 PM",Tista' taqra bil Malti Joe ‘Strongman’ Falzon has passed away aged 90 Falzon a former strongman had managed to pull a Boeing 727 aircraft for 30 feet push a 21ton train bend metal rods crush stones and sleep on broken glass His other feats include teeth lifting and ‘human anvil’ stunts He also pulled cars by his hairs and laid on a bed of nails for twelve hours Born on 9 November 1932 Falzon was just 20 years old when he became renowned as a bodybuilder
Hundreds flock to Valletta for Our Lady of Sorrows procession,"April 1, 2023 1:44 PM",Tista' taqra bil Malti Hundreds flocked to Valletta on Friday afternoon to participate in a national pilgrimage led by Archbishop Charles Scicluna The national pilgrimage started at the Ta’ Ġieżu Church at 6pm and passed through various streets of Valletta It will conclude with an episcopal blessing by the Archbishop It is being organised by the Archconfraternity of the Holy Cross with the collaboration of the Franciscan friars of Valletta and the Archdiocese of Malta On Friday Archbishop Scicluna called on believers to take a clear position in favour of life and against the culture of death on Friday Celebrating Mass on Our Lady of Sorrows at Ta’ Ġieżu Church in Valletta on Friday the Archbishop said “today at the feet of our Lady of Sorrows I ask for the true liberation of our country liberation from the culture of death which despises life from the very start and does not care about death at the end and at times not even in between” “We would be fools if we gave in to a culture that no longer considers the unborn child That revels in tearing our children to pieces This is being done in the name of progress in the name of health Killing a person without saying that it is a person so we don’t get into the legal discussion a living being torn to pieces in the name of protecting someone’s health” He warned that “we can hold as many processions as we want for Our Lady of Sorrows but our choices must be clear they must be clearly in favour of life and against the culture of death Because otherwise our devotion will be a shell but inside everything is rotten” While asking on the congregation to reflect on the true meaning of the feast of Our Lady of Sorrows Archbishop Scicluna said “today we should keep in mind the mothers who are suffering for the loss of their children in Ukraine on both sides of the conflict Hundreds of young people killed in a senseless war driven by greed”
"No Deposit Cars targets plaintiffs, lawyer in new ‘intimidating’ video","April 1, 2023 12:34 PM",Tista' taqra bil Malti Rental car company No Deposit Cars has targeted customers who signed a judicial protest by lawyer Jason Azzopardi in which they asked that the company be investigated for tax evasion and money laundering The video was published – and now deleted – after earlier this week a group of customers asked court to rescind hire purchase contracts between them and the company owned by kidnap suspect Christian Borg The judicial protest signed by lawyers Jason Azzopardi and Kris Busietta claims that a group of 26 customers fell victim to fraud and criminal conspiracy amongst other crimes inviting the police to investigate The protest was filed on Thursday morning against No Deposit Cars its parent company Princess Holdings and Borg who was charged last year alongside five others with kidnapping and threatening a man Borg the main shareholders of the Princess group of companies has since conceded the directorship of his company Princess Operations to Joseph Camenzuli a onetime photographer for the Labour Party and former prime minister Joseph Muscat “The plaintiffs are filing this judicial protest to protect their rights according to the law including their right to demand payment for moral damages and actual damages caused to them the rescission of any contract signed with the customers against the law or which contains illegalunjust clauses as well as to formally notify the Police Commissioner with a ‘notitia criminis’ which is being presented today in order to take criminal steps against the defendants for various crimes which were carried out by them to the detriment of the plaintiffs” No Deposit Cars shared its second AI generated video on its Facebook page claiming it was a “Right of Reply to Honorable Jason Azzopardi” In Malta a Right of Reply is provided by law to give individuals the possibility to correct or clarify information within a publication that has been wrongly reported without having to resort to the courts Furthermore “honorable” is used as a title for Members of Parliament In its first video No Deposit Cars targeted two MaltaToday journalists over an article detailing how customers would be seeking collective action against the company and the alleged kidnapper In the second video the company claimed that Azzopardi is representing the customers “for his own personal interest” The company also published personal details off the judicial protest which although public they are not usually published in this manner on social media It also uploaded photos of some of the customers who signed the judicial protest “These are just some examples of those who signed the protest” the video narration says adding that “while we appreciate everyone’s opinion it does not mean there will be any cancellation of debts owed to the company” The company said it would not be “intimidated by these futile actions and irrelevant claims” as it accused the customers of trying to avoid their dues It also took time to attack Azzopardi by putting up a screenshot of an undated news article showing just the headline “Jason Azzopardi branded ‘false and hypocrite’ over income tax returns The article is from 5 March 2021 and relates to claims made by Clayton Bartolo and Glenn Bedingfield as spokespersons of the Labour Party at the party’s headquarters The claims were made after Azzopardi alleged that permanent public secretary Mario Cutajar had abused his power to intimidate a former highranking inland revenue official in 2013 This elicited a counterattack from the Labour Party of not having filed a tax return for his 2018 which was first published by ONE Azzopardi had clarified then that it was due to personal problems that these were not filed on time The tax commissioner had informed the clerk of the house who in turn informed the Labour Party’s station In their judicial protest the plaintiffs have accused the company of breaching data protection laws by illegally tracking customers The company installed GPS trackers inside cars it sold to its customers on a hire purchase basis The customers are also claiming that Borg participated in a criminal conspiracy and had forced or induced them to pay over €1000 for imaginary contraventions which the hapless customers were told they had incurred – often in just one month The protest also notes that Borg’s fleeced customers are requesting he also be investigated and ultimately charged with having “promoted constituted organised or financed an organisation with a view to commit criminal offences which are punishable by imprisonment for four years or more” Moreover Borg is being accused of defrauding the taxman as receipts for the value of 1c had been issued to customers after payments of several hundred euros Some of the plaintiffs also claimed that they were forced to make monthly payments of hundreds of euros for over three years “for cars which they had never seen much less driven” In comments to this newsroom Azzopardi said “This bullying and intimidation strengthens my resolve to carry on doing my duty to the best of my abilities on behalf of whoever asks me to help them in their legal problems Frankly I see it as a sign of panic” “It further shows the blatant disregard they have for the law emboldened by the impunity they have enjoyed courtesy of you know who” he said
“I wouldn’t want to be MP” – Bartolo thanks electorate for “liberating” him,"April 1, 2023 11:59 AM",Tista' taqra bil Malti Former Labour minister Evarist Bartolo has stated that he would not want to be part of the current government considering the state of the country going on to thank the electorate for “liberating” him during the previous election During an interview on F Living Bartolo opened up about his sentiment towards the current Labour government saying that if he were in Parliament right now he would be very upset with the current state of affairs The former foreign affairs minister complained that the Labour Party and the Nationalist Party have become an electoral machine “becoming alive every five years when the election approaches” instead of alerting the government to fix its problems when things go astray While confirming that he is “still a Labourite” as he still embraces his socialist beliefs he insisted that the country must look ahead and adopt these principles Shifting the conversation to the chats between PL MP Rosianne Cutajar and businessman Yorgen Fenech Bartolo said that while he disagrees with the manner in which the chats were published one must still consider whether they have influenced this public figure’s behaviour “Politicians deserve a private life as long as their private life does not badly influence their work in their public life” he insisted Bartolo went on to mention Konrad Mizzi’s implication in the Panama Papers scandal in 2016 admitting that he did not feel comfortable voting in favour of Mizzi when MP Marlene Farrugia submitted a vote of no confidence in Mizzi Bartolo went on to counter the claims that he only started criticising the government once he failed to be elected to Parliament reminding listeners that he was part of a board that investigated corruption under the Labour government during the 1970s and 1980s Bartolo went on to state that it is a “tragedy” that people do not feel comfortable expressing their concerns with a current MP but feel comfortable doing so with a former one referring to himself “We cannot have a government that appoints people to high positions simply because they have connections rather than because they have the experience and abilities to do so” he insisted Bartolo went on to discuss the financial aspect of politics saying that the country cannot afford a situation where a Member of Parliament earns a much better salary in his private work He insisted that this is a sign that the country should seriously consider the financing of parties Without this future politicians will not be incentivized to enter politics and whoever enters “will be influenced by businesses and the market” he said Asked if he ever predicted that the country would see such substantial economic growth Bartolo said that the “roadmap” of the Labor Government in 2013 was to spur economic growth but that personally he did not predict such a growth which was not very sustainable Regarding the impossibility for Maltese youths to buy property the former Minister said that with the excess of buildings going up one would assume that property prices would drop However this is not the case “Rent subsidies are good but we have to be more creative to solve this problem” he said
